リポジトリ名,説明,URL,ステータス,更新日,オーナー/担当者,技術スタック,プライバシー設定,タグ
AI-Jason,Advanced web scraping framework using AgentQL and Playwright,https://github.com/utanutan/AI-Jason,メンテナンス中,2024-12-01,utanutan,"JavaScript, TypeScript, CSS, Python",プライベート,
buppan_zaiko_scrape,,https://github.com/utanutan/buppan_zaiko_scrape,メンテナンス中,2023-06-14,utanutan,"JavaScript, Python",プライベート,
buppan_zaiko_scrape_docs,,https://github.com/utanutan/buppan_zaiko_scrape_docs,メンテナンス中,2023-03-19,utanutan,,プライベート,
ChatGPTJaController,ChatGPTでEnterを送信ではなく改行に切り替える拡張機能,https://github.com/utanutan/ChatGPTJaController,メンテナンス中,2023-07-02,utanutan,"JavaScript, HTML, Swift, CSS",プライベート,
DecibelsAnalizerApp,,https://github.com/utanutan/DecibelsAnalizerApp,メンテナンス中,2022-01-09,utanutan,Swift,プライベート,
excel2imageai,,https://github.com/utanutan/excel2imageai,メンテナンス中,2024-11-17,utanutan,"JavaScript, TypeScript, CSS",プライベート,
github2notiondb,,https://github.com/utanutan/github2notiondb,メンテナンス中,2024-12-29,utanutan,Python,公開,
line-notify-web-site-update,,https://github.com/utanutan/line-notify-web-site-update,メンテナンス中,2024-12-02,utanutan,Python,プライベート,
notion_watchlist_manager,,https://github.com/utanutan/notion_watchlist_manager,メンテナンス中,2024-12-27,utanutan,Python,公開,
personal-website,,https://github.com/utanutan/personal-website,メンテナンス中,2024-11-14,utanutan,"JavaScript, HTML, CSS, Python",プライベート,
press_release_evaluation,Press Release Evaluation Tool,https://github.com/utanutan/press_release_evaluation,メンテナンス中,2024-12-01,utanutan,Python,プライベート,
private-docs,,https://github.com/utanutan/private-docs,メンテナンス中,2024-12-08,utanutan,,プライベート,
react_chat_app,,https://github.com/utanutan/react_chat_app,メンテナンス中,2021-07-27,utanutan,"JavaScript, HTML, CSS, Dockerfile",プライベート,
ReadWordBookApp,,https://github.com/utanutan/ReadWordBookApp,メンテナンス中,2022-05-29,utanutan,"JavaScript, Swift",プライベート,
tech-docs,,https://github.com/utanutan/tech-docs,メンテナンス中,2024-12-03,utanutan,Python,プライベート,
VoiceMemoApp,,https://github.com/utanutan/VoiceMemoApp,メンテナンス中,2022-01-01,utanutan,Swift,プライベート,
